Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff
1.08,1.078,0.464,929.3,363.3,0.972,0.88401
2.56,1.853,0.462,1362.3,316.3,0.997,1.31228
1.76,1.904,0.62,1485.3,504.0,0.837,1.22532
7.46,1.748,0.549,1734.6,314.9,0.998,1.54921
3.76,1.66,0.382,558.2,346.5,0.982,1.42679
1.38,1.928,0.839,462.4,444.4,0.905,1.02866
5.76,1.23,0.535,1512.0,520.9,0.814,1.14163
1.55,1.361,0.234,928.8,474.5,0.873,0.92546
3.94,1.542,0.617,786.6,420.3,0.928,1.29847
6.99,1.014,0.221,768.5,496.1,0.847,1.57008
1.3,1.431,0.221,1800.0,515.0,0.822,0.77711
1.64,1.954,0.859,371.2,363.6,0.972,1.08273
3.59,1.952,0.521,838.1,525.3,0.808,1.44892
3.13,1.879,0.212,1464.8,434.0,0.915,0.87691
8.56,1.382,0.238,948.2,496.8,0.846,1.57309
2.79,1.124,0.24,1728.0,456.7,0.892,1.28929
4.2,1.692,0.41,1356.1,357.7,0.976,1.46072
2.86,1.478,0.58,1110.3,450.3,0.899,1.23828
2.04,1.245,0.478,776.7,388.6,0.954,1.19139
7.5,1.02,0.422,811.8,533.2,0.796,1.23604
6.2,1.638,0.674,1058.7,502.6,0.839,1.29941
7.95,1.699,0.704,1473.6,504.0,0.837,1.31688
2.08,1.164,0.21,304.4,302.4,1.002,1.07172
7.7,1.648,0.736,444.2,393.4,0.95,1.28673
3.39,1.999,0.628,1022.6,401.1,0.944,1.42911
6.62,1.251,0.346,1668.9,475.9,0.871,1.53239
1.46,1.427,0.421,393.9,361.0,0.973,1.17594
4.69,1.874,0.352,643.1,489.5,0.855,1.43345
3.79,1.219,0.216,1021.8,425.0,0.923,1.31916
5.23,1.891,0.528,1267.7,486.2,0.859,1.52198
6.26,1.149,0.285,871.1,391.0,0.952,1.55555
8.35,1.947,0.324,848.0,578.6,0.714,1.57582
1.67,1.978,0.773,632.6,400.9,0.944,1.18429
7.12,1.289,0.57,1004.3,380.1,0.96,1.21957
7.49,1.296,0.231,483.7,447.0,0.902,1.55106
8.11,1.37,0.341,364.6,328.3,0.992,1.61935
6.17,1.905,0.415,559.0,480.8,0.866,1.55642
1.77,1.849,0.436,1624.9,581.2,0.708,1.19163
2.11,1.707,0.419,1499.0,580.8,0.709,1.26626
7.74,1.987,0.381,1260.1,577.2,0.717,1.58608
2.35,1.51,0.327,1125.3,393.3,0.95,1.23145
1.27,1.918,0.439,1150.6,359.6,0.974,0.99324
3.34,1.026,0.433,684.2,519.8,0.816,1.09353
6.88,1.503,0.293,779.2,406.4,0.94,1.54464
5.06,1.17,0.343,530.0,330.2,0.991,1.51202
3.7,1.838,0.845,815.8,427.8,0.921,1.10801
2.47,1.888,0.849,1500.0,315.2,0.998,1.08636
4.03,1.506,0.412,1298.7,580.7,0.709,1.44348
8.31,1.729,0.417,937.5,417.6,0.93,1.61418
