Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
4.72,1.745,0.793,1006.3,371.2,0.967,1.16686,0.00042
5.02,1.571,0.325,468.7,459.8,0.889,1.49272,0.00039
8.86,1.49,0.522,1759.0,365.4,0.971,1.49116,0.00039
3.82,1.871,0.357,583.7,559.2,0.753,1.39939,0.00042
7.61,1.23,0.448,604.0,304.8,1.002,1.46432,0.00046
3.45,1.538,0.617,1242.2,552.8,0.764,1.20414,0.00041
5.96,1.808,0.687,653.6,321.9,0.995,1.44472,0.00036
4.23,1.87,0.492,1461.2,507.4,0.833,1.4768,0.00038
1.55,1.991,0.509,1178.5,435.2,0.914,1.14561,0.0004
5.39,1.573,0.574,1571.9,318.6,0.996,1.42271,0.00043
8.51,1.679,0.713,600.9,449.2,0.9,1.34449,0.00048
6.16,1.547,0.367,419.3,348.7,0.981,1.56559,0.00039
5.49,1.014,0.311,440.9,392.1,0.951,1.4992,0.00039
6.07,1.715,0.208,962.5,532.7,0.797,1.28771,0.00038
1.49,1.213,0.412,930.7,447.1,0.902,1.1514,0.00039
7.08,1.33,0.53,1505.6,366.6,0.97,1.34574,0.00041
5.46,1.882,0.364,1741.9,415.5,0.932,1.46261,0.00034
3.75,1.747,0.309,1590.0,512.7,0.826,1.32618,0.00039
8.25,1.853,0.264,1252.9,481.6,0.865,1.46363,0.0004
3.12,1.139,0.455,1360.3,376.1,0.963,1.2035,0.00046
4.28,1.719,0.754,1645.1,321.5,0.995,1.19784,0.00042
5.14,1.344,0.262,1268.5,484.6,0.861,1.47183,0.00039
3.32,1.448,0.607,821.3,357.4,0.976,1.21699,0.0004
4.26,1.081,0.388,1366.5,484.7,0.861,1.3222,0.00042
6.42,1.636,0.221,364.8,319.9,0.996,1.31212,0.00043
6.84,1.57,0.28,1169.8,517.0,0.82,1.52904,0.00036
5.42,1.624,0.639,1221.6,314.9,0.998,1.37101,0.00043
3.84,1.192,0.378,1732.5,440.7,0.909,1.39471,0.00042
7.62,1.144,0.481,330.9,329.8,0.991,1.31936,0.00047
8.25,1.776,0.321,1313.9,362.5,0.972,1.54336,0.00036
3.09,1.55,0.566,1774.4,332.4,0.99,1.32423,0.00045
2.22,1.105,0.231,1603.6,432.7,0.916,1.18933,0.0004
4.68,1.508,0.454,1077.3,539.0,0.787,1.46398,0.00043
5.74,1.266,0.304,1729.1,575.3,0.721,1.51496,0.0004
1.69,1.43,0.402,1515.1,365.8,0.97,1.19521,0.00046
3.09,1.157,0.501,1447.8,387.1,0.955,1.08011,0.00039
4.63,1.895,0.756,1452.7,486.5,0.859,1.31089,0.00046
3.11,1.145,0.358,949.5,383.4,0.958,1.37676,0.00045
3.55,1.244,0.254,957.4,348.1,0.981,1.35597,0.00035
3.95,1.712,0.682,827.9,345.4,0.983,1.33101,0.00046
2.21,1.352,0.359,835.8,385.0,0.957,1.28929,0.00041
3.12,1.803,0.608,825.3,521.1,0.814,1.36986,0.00037
4.18,1.479,0.263,1401.6,467.1,0.881,1.35961,0.00038
1.0,1.611,0.593,380.6,324.7,0.994,1.05304,0.00038
8.65,1.363,0.382,1480.8,591.6,0.683,1.53572,0.0004
4.99,1.875,0.345,755.2,596.4,0.67,1.48412,0.00036
6.8,1.156,0.328,1464.4,500.7,0.841,1.52146,0.00042
5.84,1.509,0.453,468.1,452.7,0.897,1.53728,0.00038
7.39,1.949,0.847,1688.6,337.5,0.987,1.30576,0.00036
1.65,1.96,0.33,720.8,549.1,0.771,0.97189,0.0004
1.78,1.834,0.543,1428.1,370.2,0.967,1.23273,0.00037
3.17,1.279,0.323,1441.2,554.1,0.762,1.38322,0.00042
6.85,1.605,0.403,439.5,361.0,0.973,1.59148,0.00033
1.48,1.582,0.393,800.5,511.1,0.828,1.13105,0.00037
1.67,1.728,0.333,640.2,496.6,0.847,1.04627,0.00037
5.34,1.436,0.539,1382.4,497.3,0.846,1.35088,0.0004
7.04,1.167,0.44,653.6,371.7,0.966,1.40775,0.0004
2.16,1.679,0.3,865.7,465.0,0.884,1.09659,0.00037
3.3,1.817,0.582,699.0,499.8,0.843,1.40935,0.00041
7.72,1.979,0.512,1667.6,320.1,0.996,1.59098,0.00033
1.65,1.647,0.552,653.3,457.1,0.892,1.21617,0.00039
5.22,1.083,0.45,708.1,489.2,0.856,1.21115,0.00042
7.81,1.683,0.646,464.7,417.8,0.93,1.45309,0.00039
2.12,1.255,0.545,1751.3,479.5,0.867,0.98913,0.00041
1.42,1.396,0.224,755.2,597.9,0.666,0.9155,0.00034
7.8,1.568,0.259,1047.2,556.7,0.757,1.5511,0.0004
2.29,1.929,0.672,1182.6,514.2,0.824,1.28325,0.00041
7.81,1.701,0.516,1287.2,367.7,0.969,1.56996,0.00037
7.22,1.981,0.312,476.2,334.2,0.989,1.43497,0.0004
1.71,1.795,0.443,1042.8,599.5,0.661,1.20446,0.00042
3.81,1.409,0.484,1681.2,404.3,0.941,1.38008,0.00042
2.24,1.921,0.841,481.7,302.1,1.003,1.15446,0.00043
5.59,1.365,0.456,1309.6,370.8,0.967,1.46624,0.00038
1.74,1.233,0.247,453.5,397.8,0.947,1.07209,0.00036
4.16,1.785,0.773,697.6,536.8,0.791,1.18518,0.00044
3.33,1.27,0.379,1265.9,430.7,0.918,1.39859,0.0004
4.85,1.12,0.267,463.3,356.0,0.977,1.50773,0.00039
3.16,1.311,0.484,1131.1,559.1,0.753,1.25227,0.00041
2.45,1.425,0.281,351.0,304.3,1.002,1.19715,0.0004
8.43,1.418,0.491,1167.6,403.5,0.942,1.49552,0.00045
8.21,1.891,0.328,588.8,483.7,0.862,1.55816,0.0004
5.74,1.623,0.361,1627.5,446.1,0.903,1.52467,0.00034
8.31,1.209,0.513,1388.8,592.3,0.681,1.20187,0.0004
4.68,1.552,0.307,640.9,460.3,0.889,1.4525,0.00043
5.52,1.294,0.535,314.4,309.5,1.0,1.3249,0.0004
6.59,1.288,0.402,1106.0,326.2,0.993,1.52456,0.00037
6.8,1.757,0.804,850.8,308.0,1.001,1.23239,0.00044
5.98,1.694,0.225,891.2,515.1,0.822,1.33449,0.00048
8.38,1.46,0.608,1718.1,360.8,0.974,1.32654,0.00043
7.49,1.36,0.419,618.0,500.7,0.841,1.53831,0.0004
7.92,1.734,0.511,464.2,425.1,0.923,1.59623,0.00032
2.84,1.359,0.262,845.6,426.4,0.922,1.25372,0.0004
6.72,1.31,0.444,1028.8,470.2,0.878,1.46531,0.00042
4.56,1.999,0.536,561.8,342.4,0.985,1.51086,0.0004
8.0,1.118,0.297,793.6,530.6,0.8,1.56908,0.00038
2.83,1.337,0.426,592.6,318.5,0.996,1.37733,0.00035
2.43,1.477,0.297,1688.3,362.6,0.972,1.19331,0.0004
2.52,1.872,0.453,1276.6,304.5,1.002,1.29501,0.0004
5.98,1.914,0.741,706.0,481.8,0.865,1.40103,0.00041
6.25,1.96,0.722,1038.8,384.0,0.957,1.4624,0.0004
2.66,1.681,0.289,1569.7,546.5,0.775,1.1907,0.00037
2.58,1.031,0.386,546.8,344.3,0.984,1.25369,0.00041
7.84,1.131,0.47,1595.5,372.8,0.965,1.27558,0.00043
4.78,1.547,0.513,1303.1,338.3,0.987,1.46295,0.00039
7.07,1.47,0.258,859.5,529.7,0.801,1.54015,0.00037
6.99,1.187,0.443,678.4,477.2,0.87,1.39286,0.00038
8.49,1.416,0.305,927.7,420.7,0.927,1.60947,0.00041
1.33,1.241,0.255,419.7,312.4,0.999,0.95648,0.00036
4.48,1.041,0.227,1428.9,533.0,0.796,1.45549,0.00041
8.93,1.129,0.428,1641.7,496.6,0.847,1.35994,0.00038
1.4,1.021,0.21,1591.1,306.5,1.001,0.96571,0.00035
7.43,1.01,0.413,371.5,347.7,0.982,1.32308,0.00043
6.83,1.048,0.385,1694.3,336.6,0.988,1.38298,0.00042
4.51,1.473,0.66,868.8,560.9,0.75,1.08936,0.00044
8.16,1.457,0.232,1476.9,556.9,0.757,1.5471,0.00038
7.25,1.766,0.654,980.7,592.7,0.68,1.3849,0.0004
6.78,1.926,0.399,1003.8,345.8,0.983,1.54007,0.00034
4.15,1.966,0.333,1480.2,336.1,0.988,1.282,0.00042
5.65,1.922,0.766,1649.1,562.0,0.748,1.3005,0.00042
3.63,1.343,0.318,1530.2,321.8,0.995,1.4078,0.0004
6.32,1.699,0.335,463.2,311.4,0.999,1.51568,0.00037
4.76,1.415,0.484,1066.9,596.7,0.669,1.3621,0.00041
6.81,1.901,0.591,1505.5,417.7,0.93,1.5421,0.00037
7.2,1.343,0.478,1461.9,461.2,0.888,1.43232,0.00039
6.38,1.734,0.67,558.9,473.6,0.874,1.40781,0.00035
7.52,1.31,0.355,1292.4,385.7,0.956,1.57523,0.00035
4.78,1.662,0.693,1743.7,316.2,0.997,1.27888,0.00044
4.81,1.927,0.207,957.5,316.0,0.998,0.98507,0.00036
5.77,1.487,0.229,349.1,346.1,0.983,1.37449,0.00037
2.71,1.67,0.209,751.0,485.0,0.861,0.93279,0.00032
5.93,1.52,0.607,1622.2,419.5,0.928,1.32801,0.00047
6.4,1.115,0.358,1033.5,431.5,0.917,1.48206,0.00041
5.79,1.01,0.227,1743.6,384.1,0.957,1.51528,0.00036
2.15,1.445,0.343,1720.6,431.9,0.917,1.23465,0.00033
2.35,1.154,0.431,968.7,585.0,0.699,1.15356,0.00048
5.59,1.774,0.57,1083.0,587.5,0.693,1.45588,0.00039
8.93,1.359,0.606,1156.7,349.4,0.981,1.2553,0.00042
