,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken
2323,8.46,1.482,0.545,1224.4,521.0,0.814,1.41434,0.00104,12.542487
2324,8.92,1.716,0.452,1749.1,350.3,0.98,1.6001,0.00086,10.463352
2325,5.96,1.506,0.516,1709.9,355.9,0.977,1.45852,0.00096,11.824396
2326,2.11,1.03,0.403,421.2,397.7,0.947,1.16777,0.0011,18.07425
2327,7.73,1.853,0.523,1265.7,535.3,0.793,1.56385,0.00075,10.476548
2328,2.71,1.82,0.477,655.6,432.3,0.917,1.36421,0.00087,12.942046
2329,8.18,1.305,0.484,1184.9,588.5,0.691,1.34923,0.00092,14.052023
2330,1.68,1.693,0.696,1234.7,522.5,0.812,1.06872,0.00093,14.844387
2331,4.14,1.044,0.389,1700.6,418.6,0.929,1.28665,0.0011,15.96759
2332,4.09,1.797,0.507,680.0,519.8,0.816,1.47422,0.00092,12.089937
2333,8.67,1.28,0.353,1348.0,474.7,0.873,1.57062,0.00097,11.696314
2334,6.03,1.157,0.448,1591.3,485.9,0.86,1.29559,0.00092,15.152438
2335,1.57,1.212,0.253,886.1,446.8,0.903,1.05461,0.00088,17.721596
2336,6.72,1.527,0.356,1440.3,510.6,0.828,1.56263,0.00073,11.714592
2337,8.21,1.532,0.33,618.2,443.9,0.905,1.6043,0.00082,11.403433
2338,3.59,1.617,0.356,1383.6,498.7,0.844,1.39983,0.00104,13.683438
2339,5.98,1.657,0.291,405.0,335.7,0.988,1.44991,0.00084,12.330794
2340,1.7,1.934,0.668,336.6,362.8,0.972,1.24906,0.00086,12.735611
2341,7.65,1.239,0.249,359.3,523.2,0.811,1.59263,0.0008,12.669142
2342,8.0,1.628,0.297,1045.9,443.8,0.905,1.55511,0.00078,11.972868
2343,1.13,1.488,0.403,1702.7,453.9,0.895,1.03016,0.00078,16.449987
2344,3.81,1.066,0.347,1598.9,537.7,0.789,1.3406,0.00106,15.308916
2345,6.16,1.829,0.268,1653.5,541.9,0.782,1.40956,0.00074,14.313803
2346,5.54,1.95,0.752,1100.3,550.9,0.767,1.34738,0.0009,12.826156
2347,6.81,1.052,0.311,834.4,395.2,0.949,1.52616,0.00089,13.327904
2348,7.89,1.377,0.222,1636.7,469.0,0.879,1.51202,0.00085,13.219655
2349,1.48,1.069,0.426,1120.0,312.0,0.999,1.05824,0.00092,17.420425
2350,7.44,1.776,0.427,1757.3,443.0,0.906,1.57895,0.00082,10.978636
2351,7.25,1.9,0.576,337.1,352.1,0.979,1.58495,0.00081,10.309579
2352,2.87,1.981,0.716,1439.5,564.8,0.742,1.28726,0.00087,12.447609
2353,6.93,1.769,0.466,1772.9,346.6,0.982,1.56662,0.00086,10.573692
2354,8.17,1.882,0.363,1698.0,306.9,1.001,1.54546,0.00078,10.602236
2355,7.91,1.041,0.306,925.5,345.0,0.983,1.54619,0.00089,12.530704
2356,4.39,1.596,0.435,1396.7,485.0,0.861,1.47546,0.0009,12.298252
2357,5.2,1.044,0.346,684.7,479.1,0.868,1.42371,0.00097,14.963058
2358,7.15,1.015,0.346,1494.7,537.9,0.789,1.39357,0.00082,15.400651
2359,5.24,1.08,0.256,432.1,528.9,0.803,1.51996,0.00083,14.462916
2360,5.56,1.412,0.539,1024.9,433.3,0.916,1.36387,0.00093,13.822051
2361,3.63,1.155,0.397,995.8,437.7,0.911,1.35598,0.00098,14.711423
2362,2.17,1.755,0.556,669.3,312.0,0.999,1.31257,0.00093,12.204122
2363,1.8,1.606,0.527,1580.6,496.5,0.847,1.21716,0.00082,14.220184
2364,1.48,1.678,0.396,1155.7,573.0,0.726,1.12354,0.00087,16.228902
2365,6.49,1.435,0.463,437.0,340.4,0.986,1.52948,0.00089,11.996828
2366,2.98,1.062,0.38,712.4,303.9,1.002,1.31426,0.00091,15.346038
2367,4.73,1.283,0.423,933.0,319.1,0.996,1.45069,0.00083,12.446992
2368,7.36,1.58,0.34,378.4,540.8,0.784,1.59588,0.00083,12.195588
